Exit Time,Action,Ticker,Amount,Entry Price ($),Exit Price ($),Profit ($),Confidence (%)
2026-03-23 04:19:32.049404,BUY,BTC-USD,0.407816,68125.16,,0.00,35.3%
2026-03-23 04:20:32.685733,SELL (Square Off),ETH-USD,13.632788,2057.63,2055.83,-24.51,23.5%
2026-03-23 04:21:33.504244,SELL (Square Off),BTC-USD,0.331682,68141.12,68158.35,5.72,12.7%
2026-03-23 04:21:33.504529,BUY,ETH-USD,36.258815,2056.38,,0.00,28.9%
2026-03-23 04:22:34.159025,SELL (Square Off),ETH-USD,35.335772,2056.54,2057.14,21.00,0.9%
2026-03-23 04:23:34.685575,BUY,BTC-USD,1.056570,68203.88,,0.00,33.3%
2026-03-23 04:23:34.686042,BUY,ETH-USD,0.305359,2057.90,,0.00,11.9%
2026-03-23 04:24:35.343271,SELL (Square Off),BTC-USD,0.644906,68193.24,68203.88,6.86,50.0%
2026-03-23 04:25:36.369217,SELL (Square Off),BTC-USD,0.159135,68193.24,68261.38,10.84,9.8%
2026-03-23 04:25:36.369551,BUY,ETH-USD,26.624435,2060.06,,0.00,14.7%
2026-03-23 04:26:36.954900,SELL (Square Off),ETH-USD,17.852649,2059.36,2060.86,26.88,0.8%
2026-03-23 04:27:37.808112,BUY,BTC-USD,0.053746,68364.66,,0.00,12.2%
2026-03-23 04:28:38.338441,BUY,BTC-USD,0.046695,68307.60,,0.00,33.0%
2026-03-23 04:28:38.338688,BUY,ETH-USD,14.517417,2061.52,,0.00,15.8%
2026-03-23 04:29:39.380043,SELL (Square Off),ETH-USD,9.951504,2060.40,2060.03,-3.68,36.5%
2026-03-23 04:30:39.963073,BUY,BTC-USD,0.299371,68292.40,,0.00,42.5%
2026-03-23 04:30:39.963316,BUY,ETH-USD,0.027020,2061.32,,0.00,13.6%
2026-03-23 04:31:40.654128,SELL (Square Off),BTC-USD,0.050498,68244.21,68298.57,2.75,34.7%
2026-03-23 04:32:41.360933,SELL (Square Off),ETH-USD,9.665108,2060.40,2061.41,9.74,6.8%
2026-03-23 04:33:42.432501,BUY,BTC-USD,0.251484,68296.46,,0.00,13.6%
2026-03-23 04:33:42.432760,BUY,ETH-USD,3.006343,2061.39,,0.00,0.2%
2026-03-23 04:34:42.976407,SELL (Square Off),BTC-USD,0.944971,68256.50,68316.72,56.90,36.9%
2026-03-23 04:35:43.628970,SELL (Square Off),BTC-USD,0.054518,68256.50,68276.26,1.08,2.0%
2026-03-23 04:35:43.629304,BUY,ETH-USD,33.120523,2061.55,,0.00,21.7%
2026-03-23 04:36:44.168885,SELL (Square Off),ETH-USD,23.698525,2061.28,2062.48,28.34,28.1%
2026-03-23 04:37:44.680377,BUY,BTC-USD,0.293968,68363.73,,0.00,61.6%
2026-03-23 04:37:44.680649,BUY,ETH-USD,13.938352,2064.87,,0.00,47.0%
2026-03-23 04:38:45.341384,SELL (Square Off),ETH-USD,20.136610,2062.64,2066.43,76.25,7.3%
2026-03-23 04:39:46.070868,BUY,BTC-USD,0.030915,68355.87,,0.00,49.4%
2026-03-23 04:40:46.605577,BUY,BTC-USD,0.272537,68361.28,,0.00,57.5%
2026-03-23 04:41:47.135053,SELL (Square Off),ETH-USD,4.868873,2062.64,2063.62,4.76,33.9%
2026-03-23 04:42:47.809254,SELL (Square Off),BTC-USD,0.386576,68351.19,68242.95,-41.84,7.8%
2026-03-23 04:42:47.809947,BUY,ETH-USD,27.777807,2062.63,,0.00,24.3%
2026-03-23 04:43:48.470024,SELL (Square Off),BTC-USD,0.084973,68351.19,68220.22,-11.13,65.6%
2026-03-23 04:44:49.120413,SELL (Square Off),ETH-USD,25.597778,2062.63,2063.47,21.40,26.2%
2026-03-23 04:45:49.801001,BUY,BTC-USD,0.046283,68309.36,,0.00,34.8%
2026-03-23 04:46:50.493075,SELL (Square Off),ETH-USD,8.897891,2062.63,2066.55,34.90,2.9%
2026-03-23 04:47:51.216521,BUY,BTC-USD,0.423754,68411.77,,0.00,6.3%
2026-03-23 04:47:51.216789,BUY,ETH-USD,21.675771,2069.30,,0.00,18.4%
2026-03-23 04:48:51.773030,SELL (Square Off),ETH-USD,12.968653,2068.03,2070.93,37.54,41.3%
2026-03-23 04:49:52.331753,SELL (Square Off),BTC-USD,0.199882,68386.86,68346.91,-7.98,17.9%
2026-03-23 04:50:53.021149,BUY,BTC-USD,0.124953,68297.00,,0.00,59.7%
2026-03-23 04:50:53.021402,BUY,ETH-USD,15.466648,2067.97,,0.00,30.1%
2026-03-23 04:51:53.530776,SELL (Square Off),ETH-USD,7.930700,2068.00,2067.46,-4.24,41.8%
2026-03-23 04:52:54.471883,SELL (Square Off),ETH-USD,17.527006,2068.00,2065.95,-35.91,41.2%
2026-03-23 04:53:55.379959,BUY,BTC-USD,0.227114,68256.25,,0.00,58.1%
2026-03-23 04:54:55.940125,BUY,BTC-USD,0.272154,68256.25,,0.00,11.5%
2026-03-23 04:55:56.638626,SELL (Square Off),BTC-USD,0.780642,68316.72,68210.57,-82.86,9.2%
2026-03-23 04:55:56.639023,BUY,ETH-USD,34.782457,2063.57,,0.00,24.6%
2026-03-23 04:56:57.415527,SELL (Square Off),ETH-USD,19.111422,2064.01,2061.94,-39.55,16.2%
2026-03-23 04:57:57.927175,SELL (Square Off),ETH-USD,4.775212,2064.01,2060.93,-14.71,18.6%
2026-03-23 04:58:58.475548,SELL (Square Off),ETH-USD,5.948614,2064.01,2063.26,-4.49,7.1%
2026-03-23 04:59:59.093737,BUY,BTC-USD,0.241362,68178.34,,0.00,2.5%
2026-03-23 05:00:59.654291,SELL (Square Off),BTC-USD,0.304332,68256.04,68161.70,-28.71,53.0%
2026-03-23 05:00:59.654537,BUY,ETH-USD,31.889384,2063.68,,0.00,49.6%
